"time","usr","sys","iowait","timestamp","total"
"00:10:01",0.02,0,0,"2018-11-23 00:10:01 ",0.02
"00:20:01",0.01,0,0,"2018-11-23 00:20:01 ",0.01
"00:30:01",0.01,0,0,"2018-11-23 00:30:01 ",0.01
"00:40:01",0.01,0,0,"2018-11-23 00:40:01 ",0.01
"00:50:01",0.01,0,0,"2018-11-23 00:50:01 ",0.01
"01:00:01",0.01,0,0,"2018-11-23 01:00:01 ",0.01
"01:10:02",0.02,0,0,"2018-11-23 01:10:02 ",0.02
"01:20:01",0,0,0,"2018-11-23 01:20:01 ",0
"01:30:01",0.01,0,0,"2018-11-23 01:30:01 ",0.01
"01:40:01",0.01,0,0,"2018-11-23 01:40:01 ",0.01
"01:50:01",0,0,0,"2018-11-23 01:50:01 ",0
"02:00:01",0.01,0,0,"2018-11-23 02:00:01 ",0.01
"02:10:01",0.02,0,0,"2018-11-23 02:10:01 ",0.02
"02:20:01",0.01,0,0,"2018-11-23 02:20:01 ",0.01
"02:30:01",0.01,0,0,"2018-11-23 02:30:01 ",0.01
"02:40:01",0.01,0,0,"2018-11-23 02:40:01 ",0.01
"02:50:01",0,0,0,"2018-11-23 02:50:01 ",0
"03:00:01",0.01,0,0,"2018-11-23 03:00:01 ",0.01
"03:10:01",0.02,0,0,"2018-11-23 03:10:01 ",0.02
"03:20:01",0,0,0,"2018-11-23 03:20:01 ",0
"03:30:01",0.01,0,0,"2018-11-23 03:30:01 ",0.01
"03:40:01",0.01,0,0,"2018-11-23 03:40:01 ",0.01
"03:50:01",0,0,0,"2018-11-23 03:50:01 ",0
"04:00:01",0.01,0,0,"2018-11-23 04:00:01 ",0.01
"04:10:01",0.04,0.01,0,"2018-11-23 04:10:01 ",0.05
"04:20:01",0.01,0,0,"2018-11-23 04:20:01 ",0.01
"04:30:01",0.01,0,0,"2018-11-23 04:30:01 ",0.01
"04:40:01",0.01,0,0,"2018-11-23 04:40:01 ",0.01
"04:50:01",0,0,0,"2018-11-23 04:50:01 ",0
"05:00:01",0.01,0,0,"2018-11-23 05:00:01 ",0.01
"05:10:01",0.02,0,0,"2018-11-23 05:10:01 ",0.02
"05:20:01",0.01,0,0,"2018-11-23 05:20:01 ",0.01
"05:30:01",0.01,0,0,"2018-11-23 05:30:01 ",0.01
"05:40:01",0.01,0,0,"2018-11-23 05:40:01 ",0.01
"05:50:01",0,0,0,"2018-11-23 05:50:01 ",0
"06:00:01",0.01,0,0,"2018-11-23 06:00:01 ",0.01
"06:10:01",0.02,0,0,"2018-11-23 06:10:01 ",0.02
"06:20:01",0.01,0,0,"2018-11-23 06:20:01 ",0.01
"06:30:01",0.01,0,0,"2018-11-23 06:30:01 ",0.01
"06:40:01",0.01,0,0,"2018-11-23 06:40:01 ",0.01
"06:50:01",0,0,0,"2018-11-23 06:50:01 ",0
"07:00:01",0.01,0,0,"2018-11-23 07:00:01 ",0.01
"07:10:01",0.02,0,0,"2018-11-23 07:10:01 ",0.02
"07:20:01",0,0,0,"2018-11-23 07:20:01 ",0
"07:30:01",0.01,0,0,"2018-11-23 07:30:01 ",0.01
"07:40:01",0.01,0,0,"2018-11-23 07:40:01 ",0.01
"07:50:01",0,0,0,"2018-11-23 07:50:01 ",0
"08:00:01",0.01,0,0,"2018-11-23 08:00:01 ",0.01
"08:10:01",0.02,0,0,"2018-11-23 08:10:01 ",0.02
"08:20:01",0,0,0,"2018-11-23 08:20:01 ",0
"08:30:01",0.01,0,0,"2018-11-23 08:30:01 ",0.01
"08:40:01",0.01,0,0,"2018-11-23 08:40:01 ",0.01
"08:50:01",0,0,0,"2018-11-23 08:50:01 ",0
"09:00:01",0.01,0,0,"2018-11-23 09:00:01 ",0.01
"09:10:01",0.02,0,0,"2018-11-23 09:10:01 ",0.02
"09:20:01",0,0,0,"2018-11-23 09:20:01 ",0
"09:30:01",0.01,0,0,"2018-11-23 09:30:01 ",0.01
"09:40:01",0.01,0,0,"2018-11-23 09:40:01 ",0.01
"09:50:01",0.01,0,0,"2018-11-23 09:50:01 ",0.01
"10:00:01",0.01,0,0,"2018-11-23 10:00:01 ",0.01
"10:10:01",0.02,0,0,"2018-11-23 10:10:01 ",0.02
"10:20:01",0,0,0,"2018-11-23 10:20:01 ",0
"10:30:01",0.01,0,0,"2018-11-23 10:30:01 ",0.01
"10:40:01",0.01,0,0,"2018-11-23 10:40:01 ",0.01
"10:50:01",0,0,0,"2018-11-23 10:50:01 ",0
"11:00:01",0.01,0,0,"2018-11-23 11:00:01 ",0.01
"11:10:01",0.02,0,0,"2018-11-23 11:10:01 ",0.02
"11:20:01",0.01,0,0,"2018-11-23 11:20:01 ",0.01
"11:30:01",0.01,0,0,"2018-11-23 11:30:01 ",0.01
"11:40:01",0.01,0,0,"2018-11-23 11:40:01 ",0.01
"11:50:01",0,0,0,"2018-11-23 11:50:01 ",0
"12:00:01",0.01,0,0,"2018-11-23 12:00:01 ",0.01
"12:10:01",0.02,0,0,"2018-11-23 12:10:01 ",0.02
"12:20:01",0.01,0,0,"2018-11-23 12:20:01 ",0.01
"12:30:01",0.01,0,0,"2018-11-23 12:30:01 ",0.01
"12:40:01",0.02,0,0,"2018-11-23 12:40:01 ",0.02
"12:50:01",0,0,0,"2018-11-23 12:50:01 ",0
"13:00:01",0.01,0,0,"2018-11-23 13:00:01 ",0.01
"13:10:01",0.02,0,0,"2018-11-23 13:10:01 ",0.02
"13:20:01",0.01,0,0,"2018-11-23 13:20:01 ",0.01
"13:30:01",0.01,0,0,"2018-11-23 13:30:01 ",0.01
"13:40:01",0.01,0,0,"2018-11-23 13:40:01 ",0.01
"13:50:01",0,0,0,"2018-11-23 13:50:01 ",0
"14:00:01",0.01,0,0,"2018-11-23 14:00:01 ",0.01
"14:10:01",0.02,0,0,"2018-11-23 14:10:01 ",0.02
"14:20:01",0.01,0,0,"2018-11-23 14:20:01 ",0.01
"14:30:01",0.01,0,0,"2018-11-23 14:30:01 ",0.01
"14:40:01",0.01,0,0,"2018-11-23 14:40:01 ",0.01
"14:50:01",0,0,0,"2018-11-23 14:50:01 ",0
"15:00:01",0.01,0,0,"2018-11-23 15:00:01 ",0.01
"15:10:01",0.02,0,0,"2018-11-23 15:10:01 ",0.02
"15:20:01",0.01,0,0,"2018-11-23 15:20:01 ",0.01
"15:30:01",0.01,0,0,"2018-11-23 15:30:01 ",0.01
"15:40:01",0.02,0,0,"2018-11-23 15:40:01 ",0.02
"15:50:01",0,0,0,"2018-11-23 15:50:01 ",0
"16:00:01",0.01,0,0,"2018-11-23 16:00:01 ",0.01
"16:10:01",0.02,0,0,"2018-11-23 16:10:01 ",0.02
"16:20:01",0.01,0,0,"2018-11-23 16:20:01 ",0.01
"16:30:01",0.01,0,0,"2018-11-23 16:30:01 ",0.01
"16:40:01",0.01,0,0,"2018-11-23 16:40:01 ",0.01
"16:50:01",0.01,0,0,"2018-11-23 16:50:01 ",0.01
"17:00:01",0.01,0,0,"2018-11-23 17:00:01 ",0.01
"17:10:01",0.03,0.01,0,"2018-11-23 17:10:01 ",0.04
"17:20:01",0.01,0,0,"2018-11-23 17:20:01 ",0.01
"17:30:01",0.01,0,0,"2018-11-23 17:30:01 ",0.01
"17:40:01",0.01,0,0,"2018-11-23 17:40:01 ",0.01
"17:50:01",0,0,0,"2018-11-23 17:50:01 ",0
"18:00:01",0.01,0,0.01,"2018-11-23 18:00:01 ",0.02
"18:10:01",0.02,0,0,"2018-11-23 18:10:01 ",0.02
"18:20:01",0,0,0,"2018-11-23 18:20:01 ",0
"18:30:01",0.01,0,0,"2018-11-23 18:30:01 ",0.01
"18:40:01",0.01,0,0,"2018-11-23 18:40:01 ",0.01
"18:50:01",0.01,0,0,"2018-11-23 18:50:01 ",0.01
"19:00:01",0.01,0,0,"2018-11-23 19:00:01 ",0.01
"19:10:01",3.64,0.05,0,"2018-11-23 19:10:01 ",3.69
"19:20:01",0.03,0.01,0,"2018-11-23 19:20:01 ",0.04
"19:30:01",0.01,0.01,0,"2018-11-23 19:30:01 ",0.02
"19:40:01",0.03,0.01,0,"2018-11-23 19:40:01 ",0.04
"19:50:01",0.27,0.06,0,"2018-11-23 19:50:01 ",0.33
"20:00:01",1.61,0.04,0,"2018-11-23 20:00:01 ",1.65
"20:10:01",0.02,0.01,0,"2018-11-23 20:10:01 ",0.03
"20:20:01",0.01,0.01,0,"2018-11-23 20:20:01 ",0.02
"20:30:01",0.15,0.04,0,"2018-11-23 20:30:01 ",0.19
"20:40:01",0.03,0,0,"2018-11-23 20:40:01 ",0.03
