"time","usr","sys","iowait","timestamp","total"
"00:10:01",0.05,0.14,0,"2018-11-28 00:10:01 ",0.19
"00:20:01",0.05,0.12,0,"2018-11-28 00:20:01 ",0.17
"00:30:01",0.05,0.11,0,"2018-11-28 00:30:01 ",0.16
"00:40:01",0.05,0.11,0,"2018-11-28 00:40:01 ",0.16
"00:50:01",0.05,0.12,0,"2018-11-28 00:50:01 ",0.17
"01:00:01",0.05,0.13,0,"2018-11-28 01:00:01 ",0.18
"01:10:01",0.05,0.12,0,"2018-11-28 01:10:01 ",0.17
"01:20:01",0.05,0.12,0,"2018-11-28 01:20:01 ",0.17
"01:30:01",0.05,0.12,0,"2018-11-28 01:30:01 ",0.17
"01:40:01",0.05,0.11,0,"2018-11-28 01:40:01 ",0.16
"01:50:01",0.05,0.12,0,"2018-11-28 01:50:01 ",0.17
"02:00:01",0.05,0.12,0,"2018-11-28 02:00:01 ",0.17
"02:10:01",0.05,0.13,0,"2018-11-28 02:10:01 ",0.18
"02:20:01",0.05,0.11,0,"2018-11-28 02:20:01 ",0.16
"02:30:01",0.05,0.12,0,"2018-11-28 02:30:01 ",0.17
"02:40:01",0.05,0.14,0,"2018-11-28 02:40:01 ",0.19
"02:50:01",0.05,0.12,0,"2018-11-28 02:50:01 ",0.17
"03:00:01",0.05,0.13,0,"2018-11-28 03:00:01 ",0.18
"03:10:01",0.05,0.11,0,"2018-11-28 03:10:01 ",0.16
"03:20:01",0.05,0.13,0,"2018-11-28 03:20:01 ",0.18
"03:30:01",0.05,0.12,0,"2018-11-28 03:30:01 ",0.17
"03:40:01",0.05,0.12,0,"2018-11-28 03:40:01 ",0.17
"03:50:01",0.05,0.13,0,"2018-11-28 03:50:01 ",0.18
"04:00:01",0.05,0.11,0,"2018-11-28 04:00:01 ",0.16
"04:10:01",0.07,0.14,0,"2018-11-28 04:10:01 ",0.21
"04:20:01",0.05,0.12,0,"2018-11-28 04:20:01 ",0.17
"04:30:01",0.05,0.13,0,"2018-11-28 04:30:01 ",0.18
"04:40:01",0.05,0.12,0,"2018-11-28 04:40:01 ",0.17
"04:50:01",0.05,0.12,0,"2018-11-28 04:50:01 ",0.17
"05:00:01",0.05,0.13,0,"2018-11-28 05:00:01 ",0.18
"05:10:01",0.05,0.13,0,"2018-11-28 05:10:01 ",0.18
"05:20:01",0.05,0.12,0,"2018-11-28 05:20:01 ",0.17
"05:30:01",0.05,0.11,0,"2018-11-28 05:30:01 ",0.16
"05:40:01",0.05,0.13,0,"2018-11-28 05:40:01 ",0.18
"05:50:01",0.05,0.13,0,"2018-11-28 05:50:01 ",0.18
"06:00:01",0.05,0.13,0,"2018-11-28 06:00:01 ",0.18
"06:10:01",0.05,0.13,0,"2018-11-28 06:10:01 ",0.18
"06:20:01",0.05,0.11,0,"2018-11-28 06:20:01 ",0.16
"06:30:01",0.05,0.12,0,"2018-11-28 06:30:01 ",0.17
"06:40:01",0.05,0.11,0,"2018-11-28 06:40:01 ",0.16
"06:50:01",0.05,0.12,0,"2018-11-28 06:50:01 ",0.17
"07:00:01",0.05,0.12,0,"2018-11-28 07:00:01 ",0.17
"07:10:01",0.05,0.12,0,"2018-11-28 07:10:01 ",0.17
"07:20:01",0.05,0.12,0,"2018-11-28 07:20:01 ",0.17
"07:30:01",0.05,0.12,0,"2018-11-28 07:30:01 ",0.17
"07:40:01",0.05,0.14,0,"2018-11-28 07:40:01 ",0.19
"07:50:01",0.05,0.13,0,"2018-11-28 07:50:01 ",0.18
"08:00:01",0.05,0.12,0,"2018-11-28 08:00:01 ",0.17
"08:10:01",0.05,0.12,0,"2018-11-28 08:10:01 ",0.17
"08:20:01",0.05,0.13,0,"2018-11-28 08:20:01 ",0.18
"08:30:01",0.05,0.13,0,"2018-11-28 08:30:01 ",0.18
"08:40:01",0.06,0.11,0,"2018-11-28 08:40:01 ",0.17
"08:50:01",0.05,0.13,0,"2018-11-28 08:50:01 ",0.18
"09:00:01",0.05,0.13,0,"2018-11-28 09:00:01 ",0.18
"09:10:01",0.05,0.13,0,"2018-11-28 09:10:01 ",0.18
"09:20:01",0.05,0.13,0,"2018-11-28 09:20:01 ",0.18
"09:30:01",0.05,0.13,0,"2018-11-28 09:30:01 ",0.18
"09:40:01",0.05,0.1,0,"2018-11-28 09:40:01 ",0.15
"09:50:01",0.05,0.11,0,"2018-11-28 09:50:01 ",0.16
"10:00:01",0.05,0.13,0,"2018-11-28 10:00:01 ",0.18
"10:10:01",0.05,0.1,0,"2018-11-28 10:10:01 ",0.15
"10:20:01",0.05,0.12,0,"2018-11-28 10:20:01 ",0.17
"10:30:01",0.05,0.12,0,"2018-11-28 10:30:01 ",0.17
"10:40:01",0.05,0.1,0,"2018-11-28 10:40:01 ",0.15
"10:50:01",0.05,0.14,0,"2018-11-28 10:50:01 ",0.19
"11:00:01",0.05,0.12,0,"2018-11-28 11:00:01 ",0.17
"11:10:01",0.05,0.13,0,"2018-11-28 11:10:01 ",0.18
"11:20:01",0.05,0.11,0,"2018-11-28 11:20:01 ",0.16
"11:30:01",0.05,0.12,0,"2018-11-28 11:30:01 ",0.17
"11:40:01",0.05,0.12,0,"2018-11-28 11:40:01 ",0.17
"11:50:01",0.05,0.14,0,"2018-11-28 11:50:01 ",0.19
"12:00:01",0.05,0.12,0,"2018-11-28 12:00:01 ",0.17
"12:10:01",0.05,0.11,0,"2018-11-28 12:10:01 ",0.16
"12:20:01",0.05,0.1,0,"2018-11-28 12:20:01 ",0.15
"12:30:01",0.05,0.11,0,"2018-11-28 12:30:01 ",0.16
"12:40:01",0.05,0.12,0,"2018-11-28 12:40:01 ",0.17
"12:50:01",0.05,0.13,0,"2018-11-28 12:50:01 ",0.18
"13:00:01",0.05,0.15,0,"2018-11-28 13:00:01 ",0.2
"13:10:01",0.05,0.12,0,"2018-11-28 13:10:01 ",0.17
"13:20:01",0.05,0.12,0,"2018-11-28 13:20:01 ",0.17
"13:30:01",0.05,0.12,0,"2018-11-28 13:30:01 ",0.17
"13:40:01",0.05,0.12,0,"2018-11-28 13:40:01 ",0.17
"13:50:01",0.05,0.13,0,"2018-11-28 13:50:01 ",0.18
"14:00:01",0.05,0.11,0,"2018-11-28 14:00:01 ",0.16
"14:10:01",0.05,0.12,0,"2018-11-28 14:10:01 ",0.17
"14:20:01",0.05,0.12,0,"2018-11-28 14:20:01 ",0.17
"14:30:01",0.05,0.13,0,"2018-11-28 14:30:01 ",0.18
"14:40:01",0.05,0.12,0,"2018-11-28 14:40:01 ",0.17
"14:50:01",0.05,0.14,0,"2018-11-28 14:50:01 ",0.19
"15:00:01",0.05,0.12,0,"2018-11-28 15:00:01 ",0.17
"15:10:01",0.05,0.12,0,"2018-11-28 15:10:01 ",0.17
"15:20:01",0.05,0.13,0,"2018-11-28 15:20:01 ",0.18
"15:30:01",0.05,0.12,0,"2018-11-28 15:30:01 ",0.17
"15:40:01",0.05,0.13,0,"2018-11-28 15:40:01 ",0.18
"15:50:01",0.05,0.14,0,"2018-11-28 15:50:01 ",0.19
"16:00:01",0.05,0.12,0,"2018-11-28 16:00:01 ",0.17
"16:10:01",0.05,0.11,0,"2018-11-28 16:10:01 ",0.16
"16:20:01",0.05,0.12,0,"2018-11-28 16:20:01 ",0.17
"16:30:01",0.05,0.11,0,"2018-11-28 16:30:01 ",0.16
"16:40:01",0.05,0.13,0,"2018-11-28 16:40:01 ",0.18
"16:50:01",0.05,0.12,0,"2018-11-28 16:50:01 ",0.17
"17:00:01",0.05,0.12,0,"2018-11-28 17:00:01 ",0.17
"17:10:01",8.9,0.37,0.41,"2018-11-28 17:10:01 ",9.68
"17:20:01",0.05,0.12,0,"2018-11-28 17:20:01 ",0.17
"17:30:01",0.05,0.12,0,"2018-11-28 17:30:01 ",0.17
"17:40:01",0.05,0.13,0,"2018-11-28 17:40:01 ",0.18
"17:50:01",0.05,0.13,0,"2018-11-28 17:50:01 ",0.18
"18:00:01",0.05,0.12,0,"2018-11-28 18:00:01 ",0.17
"18:10:01",0.05,0.11,0,"2018-11-28 18:10:01 ",0.16
"18:20:01",0.05,0.11,0,"2018-11-28 18:20:01 ",0.16
"18:30:01",0.05,0.11,0,"2018-11-28 18:30:01 ",0.16
"18:40:01",0.05,0.11,0,"2018-11-28 18:40:01 ",0.16
"18:50:01",0.05,0.14,0,"2018-11-28 18:50:01 ",0.19
"19:00:01",0.05,0.11,0,"2018-11-28 19:00:01 ",0.16
"19:10:01",4.74,0.22,0.1,"2018-11-28 19:10:01 ",5.06
"19:20:01",8.33,0.09,0,"2018-11-28 19:20:01 ",8.42
"19:30:01",8.34,0.09,0,"2018-11-28 19:30:01 ",8.43
"19:40:01",8.33,0.09,0,"2018-11-28 19:40:01 ",8.42
"19:50:01",5.06,0.15,0.04,"2018-11-28 19:50:01 ",5.25
"20:00:01",2.14,0.37,0.18,"2018-11-28 20:00:01 ",2.69
"20:10:01",3.72,0.12,0.01,"2018-11-28 20:10:01 ",3.85
"20:20:01",0.05,0.11,0,"2018-11-28 20:20:01 ",0.16
"20:30:01",0.05,0.12,0,"2018-11-28 20:30:01 ",0.17
"20:40:01",0.05,0.13,0,"2018-11-28 20:40:01 ",0.18
"20:50:01",0.05,0.13,0,"2018-11-28 20:50:01 ",0.18
"21:00:01",0.05,0.12,0,"2018-11-28 21:00:01 ",0.17
"21:10:01",0.05,0.11,0,"2018-11-28 21:10:01 ",0.16
"21:20:01",0.05,0.12,0,"2018-11-28 21:20:01 ",0.17
"21:30:01",0.05,0.13,0,"2018-11-28 21:30:01 ",0.18
"21:40:01",0.05,0.13,0,"2018-11-28 21:40:01 ",0.18
"21:50:01",0.05,0.11,0,"2018-11-28 21:50:01 ",0.16
"22:00:01",0.05,0.12,0,"2018-11-28 22:00:01 ",0.17
"22:10:01",0.05,0.11,0,"2018-11-28 22:10:01 ",0.16
"22:20:01",0.05,0.12,0,"2018-11-28 22:20:01 ",0.17
"22:30:01",0.05,0.11,0,"2018-11-28 22:30:01 ",0.16
"22:40:01",0.05,0.1,0,"2018-11-28 22:40:01 ",0.15
"22:50:01",0.05,0.13,0,"2018-11-28 22:50:01 ",0.18
"23:00:01",0.05,0.11,0,"2018-11-28 23:00:01 ",0.16
"23:10:01",0.05,0.11,0,"2018-11-28 23:10:01 ",0.16
"23:20:01",0.05,0.11,0,"2018-11-28 23:20:01 ",0.16
"23:30:01",0.05,0.11,0,"2018-11-28 23:30:01 ",0.16
"23:40:01",0.05,0.12,0,"2018-11-28 23:40:01 ",0.17
"23:50:01",0.05,0.12,0,"2018-11-28 23:50:01 ",0.17
"Average:",0.4,0.12,0.01,"2018-11-28 Average: ",0.53
