"time","ampm","usr","sys","iowait","timestamp","total"
"12:10:01","AM",0.55,0.04,0,"2018-11-29 12:10:01 AM",0.59
"12:20:01","AM",0.55,0.04,0,"2018-11-29 12:20:01 AM",0.59
"12:30:01","AM",0.47,0.04,0,"2018-11-29 12:30:01 AM",0.51
"12:40:01","AM",0.63,0.05,0,"2018-11-29 12:40:01 AM",0.68
"12:50:01","AM",0.53,0.04,0,"2018-11-29 12:50:01 AM",0.57
"01:00:01","AM",0.52,0.04,0,"2018-11-29 01:00:01 AM",0.56
"01:10:01","AM",0.52,0.04,0,"2018-11-29 01:10:01 AM",0.56
"01:20:01","AM",0.55,0.05,0,"2018-11-29 01:20:01 AM",0.6
"01:30:01","AM",0.53,0.04,0,"2018-11-29 01:30:01 AM",0.57
"01:40:01","AM",0.53,0.04,0,"2018-11-29 01:40:01 AM",0.57
"01:50:01","AM",0.65,0.05,0,"2018-11-29 01:50:01 AM",0.7
"02:00:01","AM",0.67,0.05,0,"2018-11-29 02:00:01 AM",0.72
"02:10:01","AM",0.47,0.04,0,"2018-11-29 02:10:01 AM",0.51
"02:20:01","AM",0.47,0.04,0,"2018-11-29 02:20:01 AM",0.51
"02:30:01","AM",0.54,0.04,0,"2018-11-29 02:30:01 AM",0.58
"02:40:01","AM",0.66,0.06,0,"2018-11-29 02:40:01 AM",0.72
"02:50:01","AM",0.52,0.04,0,"2018-11-29 02:50:01 AM",0.56
"03:00:01","AM",0.59,0.05,0,"2018-11-29 03:00:01 AM",0.64
"03:10:01","AM",0.47,0.04,0,"2018-11-29 03:10:01 AM",0.51
"03:20:01","AM",0.5,0.04,0,"2018-11-29 03:20:01 AM",0.54
"03:30:01","AM",0.55,0.04,0,"2018-11-29 03:30:01 AM",0.59
"03:40:01","AM",0.46,0.04,0,"2018-11-29 03:40:01 AM",0.5
"03:50:01","AM",0.61,0.05,0,"2018-11-29 03:50:01 AM",0.66
"04:00:01","AM",0.48,0.04,0,"2018-11-29 04:00:01 AM",0.52
"04:10:01","AM",0.45,0.04,0,"2018-11-29 04:10:01 AM",0.49
"04:20:01","AM",0.44,0.04,0,"2018-11-29 04:20:01 AM",0.48
"04:30:01","AM",0.53,0.05,0,"2018-11-29 04:30:01 AM",0.58
"04:40:01","AM",0.58,0.05,0,"2018-11-29 04:40:01 AM",0.63
"04:50:01","AM",0.56,0.04,0,"2018-11-29 04:50:01 AM",0.6
"05:00:01","AM",0.58,0.04,0,"2018-11-29 05:00:01 AM",0.62
"05:10:01","AM",0.61,0.05,0,"2018-11-29 05:10:01 AM",0.66
"05:20:01","AM",0.48,0.04,0,"2018-11-29 05:20:01 AM",0.52
"05:30:01","AM",0.46,0.04,0,"2018-11-29 05:30:01 AM",0.5
"05:40:01","AM",0.47,0.04,0,"2018-11-29 05:40:01 AM",0.51
"05:50:01","AM",0.52,0.05,0,"2018-11-29 05:50:01 AM",0.57
"06:00:01","AM",0.52,0.04,0,"2018-11-29 06:00:01 AM",0.56
"06:10:01","AM",0.65,0.06,0,"2018-11-29 06:10:01 AM",0.71
"06:20:01","AM",0.6,0.05,0,"2018-11-29 06:20:01 AM",0.65
"06:30:01","AM",0.56,0.05,0,"2018-11-29 06:30:01 AM",0.61
"06:40:01","AM",0.52,0.05,0,"2018-11-29 06:40:01 AM",0.57
"06:50:01","AM",0.56,0.05,0,"2018-11-29 06:50:01 AM",0.61
"07:00:01","AM",0.56,0.05,0,"2018-11-29 07:00:01 AM",0.61
"07:10:01","AM",0.64,0.05,0,"2018-11-29 07:10:01 AM",0.69
"07:20:01","AM",0.67,0.05,0,"2018-11-29 07:20:01 AM",0.72
"07:30:01","AM",0.76,0.06,0,"2018-11-29 07:30:01 AM",0.82
"07:40:01","AM",0.64,0.06,0,"2018-11-29 07:40:01 AM",0.7
"07:50:01","AM",0.69,0.06,0,"2018-11-29 07:50:01 AM",0.75
"08:00:01","AM",0.85,0.07,0,"2018-11-29 08:00:01 AM",0.92
"08:10:01","AM",1.34,0.09,0.01,"2018-11-29 08:10:01 AM",1.44
"08:20:01","AM",1.19,0.12,0.01,"2018-11-29 08:20:01 AM",1.32
"08:30:01","AM",1.05,0.1,0.01,"2018-11-29 08:30:01 AM",1.16
"08:40:01","AM",1.22,0.12,0.01,"2018-11-29 08:40:01 AM",1.35
"08:50:01","AM",1.13,0.11,0.01,"2018-11-29 08:50:01 AM",1.25
"09:00:01","AM",1.2,0.11,0.01,"2018-11-29 09:00:01 AM",1.32
"09:10:01","AM",1.4,0.12,0.01,"2018-11-29 09:10:01 AM",1.53
"09:20:01","AM",1.4,0.12,0.01,"2018-11-29 09:20:01 AM",1.53
"09:30:01","AM",1.4,0.13,0.01,"2018-11-29 09:30:01 AM",1.54
"09:40:01","AM",1.48,0.13,0.01,"2018-11-29 09:40:01 AM",1.62
"09:50:01","AM",1.47,0.13,0.01,"2018-11-29 09:50:01 AM",1.61
"10:00:01","AM",1.55,0.14,0.02,"2018-11-29 10:00:01 AM",1.71
"10:10:01","AM",1.49,0.13,0.01,"2018-11-29 10:10:01 AM",1.63
"10:20:01","AM",1.55,0.15,0.02,"2018-11-29 10:20:01 AM",1.72
"10:30:01","AM",1.55,0.15,0.02,"2018-11-29 10:30:01 AM",1.72
"10:40:02","AM",1.51,0.15,0.02,"2018-11-29 10:40:02 AM",1.68
"10:50:01","AM",1.57,0.14,0.02,"2018-11-29 10:50:01 AM",1.73
"11:00:01","AM",1.62,0.15,0.02,"2018-11-29 11:00:01 AM",1.79
"11:10:01","AM",1.52,0.16,0.01,"2018-11-29 11:10:01 AM",1.69
"11:20:01","AM",1.46,0.14,0.01,"2018-11-29 11:20:01 AM",1.61
"11:30:01","AM",1.39,0.13,0.02,"2018-11-29 11:30:01 AM",1.54
"11:40:01","AM",1.43,0.13,0.02,"2018-11-29 11:40:01 AM",1.58
"11:50:01","AM",1.28,0.13,0.01,"2018-11-29 11:50:01 AM",1.42
"12:00:01","PM",1.27,0.12,0.01,"2018-11-29 12:00:01 PM",1.4
"12:10:01","PM",1.32,0.1,0.01,"2018-11-29 12:10:01 PM",1.43
"12:20:01","PM",1.04,0.09,0.01,"2018-11-29 12:20:01 PM",1.14
"12:30:01","PM",1.14,0.1,0.01,"2018-11-29 12:30:01 PM",1.25
"12:40:01","PM",1.15,0.1,0.01,"2018-11-29 12:40:01 PM",1.26
"12:50:01","PM",1.21,0.11,0.01,"2018-11-29 12:50:01 PM",1.33
"01:00:01","PM",1.24,0.11,0.02,"2018-11-29 01:00:01 PM",1.37
"01:10:01","PM",1.62,0.13,0.02,"2018-11-29 01:10:01 PM",1.77
"01:20:01","PM",1.4,0.13,0.02,"2018-11-29 01:20:01 PM",1.55
"01:30:01","PM",1.57,0.14,0.02,"2018-11-29 01:30:01 PM",1.73
"01:40:01","PM",1.56,0.15,0.02,"2018-11-29 01:40:01 PM",1.73
"01:50:01","PM",1.59,0.15,0.02,"2018-11-29 01:50:01 PM",1.76
"02:00:01","PM",1.42,0.14,0.02,"2018-11-29 02:00:01 PM",1.58
"02:10:01","PM",1.51,0.15,0.02,"2018-11-29 02:10:01 PM",1.68
"02:20:01","PM",1.5,0.14,0.02,"2018-11-29 02:20:01 PM",1.66
"02:30:01","PM",1.54,0.14,0.02,"2018-11-29 02:30:01 PM",1.7
"02:40:01","PM",1.64,0.16,0.02,"2018-11-29 02:40:01 PM",1.82
"02:50:01","PM",1.78,0.16,0.02,"2018-11-29 02:50:01 PM",1.96
"03:00:01","PM",1.57,0.15,0.02,"2018-11-29 03:00:01 PM",1.74
"03:10:01","PM",1.53,0.15,0.02,"2018-11-29 03:10:01 PM",1.7
"03:20:01","PM",1.62,0.15,0.02,"2018-11-29 03:20:01 PM",1.79
"03:30:01","PM",1.6,0.15,0.02,"2018-11-29 03:30:01 PM",1.77
"03:40:01","PM",1.68,0.16,0.02,"2018-11-29 03:40:01 PM",1.86
"03:50:01","PM",1.65,0.15,0.02,"2018-11-29 03:50:01 PM",1.82
"04:00:01","PM",1.52,0.14,0.02,"2018-11-29 04:00:01 PM",1.68
"04:10:01","PM",1.58,0.14,0.02,"2018-11-29 04:10:01 PM",1.74
"04:20:01","PM",1.46,0.13,0.02,"2018-11-29 04:20:01 PM",1.61
"04:30:01","PM",1.55,0.14,0.02,"2018-11-29 04:30:01 PM",1.71
"04:40:01","PM",1.45,0.14,0.02,"2018-11-29 04:40:01 PM",1.61
"04:50:01","PM",1.43,0.14,0.02,"2018-11-29 04:50:01 PM",1.59
"05:00:01","PM",1.14,0.11,0.01,"2018-11-29 05:00:01 PM",1.26
"05:10:01","PM",1.21,0.12,0.01,"2018-11-29 05:10:01 PM",1.34
"05:20:01","PM",1.11,0.1,0.01,"2018-11-29 05:20:01 PM",1.22
"05:30:01","PM",0.94,0.08,0.01,"2018-11-29 05:30:01 PM",1.03
"05:40:01","PM",0.97,0.08,0.01,"2018-11-29 05:40:01 PM",1.06
"05:50:01","PM",0.91,0.07,0.01,"2018-11-29 05:50:01 PM",0.99
"06:00:01","PM",0.92,0.07,0.01,"2018-11-29 06:00:01 PM",1
"06:10:01","PM",0.82,0.07,0.01,"2018-11-29 06:10:01 PM",0.9
"06:20:01","PM",0.88,0.07,0.01,"2018-11-29 06:20:01 PM",0.96
"06:30:01","PM",0.91,0.09,0.01,"2018-11-29 06:30:01 PM",1.01
"06:40:01","PM",0.86,0.08,0.01,"2018-11-29 06:40:01 PM",0.95
"06:50:01","PM",0.86,0.08,0.01,"2018-11-29 06:50:01 PM",0.95
"07:00:01","PM",0.71,0.07,0.01,"2018-11-29 07:00:01 PM",0.79
"07:10:01","PM",0.89,0.08,0,"2018-11-29 07:10:01 PM",0.97
"07:20:01","PM",0.65,0.06,0,"2018-11-29 07:20:01 PM",0.71
"07:30:01","PM",0.74,0.06,0.01,"2018-11-29 07:30:01 PM",0.81
"07:40:01","PM",0.7,0.06,0,"2018-11-29 07:40:01 PM",0.76
"07:50:01","PM",0.69,0.06,0,"2018-11-29 07:50:01 PM",0.75
"08:00:01","PM",0.71,0.06,0,"2018-11-29 08:00:01 PM",0.77
"08:10:01","PM",0.79,0.07,0,"2018-11-29 08:10:01 PM",0.86
"08:20:01","PM",0.77,0.06,0,"2018-11-29 08:20:01 PM",0.83
"08:30:01","PM",0.66,0.06,0,"2018-11-29 08:30:01 PM",0.72
"08:40:01","PM",0.71,0.06,0,"2018-11-29 08:40:01 PM",0.77
"08:50:01","PM",0.66,0.05,0,"2018-11-29 08:50:01 PM",0.71
"09:00:01","PM",0.65,0.05,0,"2018-11-29 09:00:01 PM",0.7
"09:10:01","PM",0.9,0.07,0.01,"2018-11-29 09:10:01 PM",0.98
"09:20:01","PM",0.6,0.05,0,"2018-11-29 09:20:01 PM",0.65
"09:30:01","PM",0.86,0.07,0,"2018-11-29 09:30:01 PM",0.93
"09:40:01","PM",0.63,0.05,0,"2018-11-29 09:40:01 PM",0.68
"09:50:01","PM",0.7,0.05,0,"2018-11-29 09:50:01 PM",0.75
"10:00:01","PM",0.66,0.05,0,"2018-11-29 10:00:01 PM",0.71
"10:10:01","PM",0.6,0.05,0,"2018-11-29 10:10:01 PM",0.65
"10:20:01","PM",0.71,0.06,0,"2018-11-29 10:20:01 PM",0.77
"10:30:01","PM",0.51,0.04,0,"2018-11-29 10:30:01 PM",0.55
"10:40:01","PM",0.62,0.05,0,"2018-11-29 10:40:01 PM",0.67
"10:50:01","PM",0.83,0.07,0,"2018-11-29 10:50:01 PM",0.9
"11:00:01","PM",0.74,0.06,0,"2018-11-29 11:00:01 PM",0.8
"11:10:01","PM",0.73,0.06,0,"2018-11-29 11:10:01 PM",0.79
"11:20:01","PM",0.6,0.05,0,"2018-11-29 11:20:01 PM",0.65
"11:30:01","PM",0.78,0.06,0,"2018-11-29 11:30:01 PM",0.84
"11:40:01","PM",0.62,0.05,0,"2018-11-29 11:40:01 PM",0.67
"11:50:01","PM",0.63,0.05,0,"2018-11-29 11:50:01 PM",0.68
