"time","usr","sys","iowait","timestamp","total"
"00:10:01",0.28,0.47,0.01,"2018-12-06 00:10:01 ",0.76
"00:20:01",0.29,0.47,0.01,"2018-12-06 00:20:01 ",0.77
"00:30:01",0.27,0.46,0.01,"2018-12-06 00:30:01 ",0.74
"00:40:01",0.27,0.47,0.01,"2018-12-06 00:40:01 ",0.75
"00:50:01",0.27,0.47,0.01,"2018-12-06 00:50:01 ",0.75
"01:00:01",0.27,0.46,0.01,"2018-12-06 01:00:01 ",0.74
"01:10:01",0.28,0.46,0.01,"2018-12-06 01:10:01 ",0.75
"01:20:01",0.28,0.47,0.01,"2018-12-06 01:20:01 ",0.76
"01:30:01",0.27,0.47,0.01,"2018-12-06 01:30:01 ",0.75
"01:40:01",0.28,0.5,0.01,"2018-12-06 01:40:01 ",0.79
"01:50:01",0.54,0.63,0.01,"2018-12-06 01:50:01 ",1.18
"02:00:01",0.3,0.5,0.01,"2018-12-06 02:00:01 ",0.81
"02:10:01",0.3,0.48,0.01,"2018-12-06 02:10:01 ",0.79
"02:20:01",0.33,0.47,0.01,"2018-12-06 02:20:01 ",0.81
"02:30:01",0.27,0.46,0.01,"2018-12-06 02:30:01 ",0.74
"02:40:01",0.27,0.47,0.01,"2018-12-06 02:40:01 ",0.75
"02:50:01",0.28,0.49,0.01,"2018-12-06 02:50:01 ",0.78
"03:00:01",0.27,0.47,0.01,"2018-12-06 03:00:01 ",0.75
"03:10:01",0.27,0.47,0.01,"2018-12-06 03:10:01 ",0.75
"03:20:01",0.29,0.48,0.01,"2018-12-06 03:20:01 ",0.78
"03:30:02",0.58,0.67,0.01,"2018-12-06 03:30:02 ",1.26
"03:40:01",0.31,0.5,0.01,"2018-12-06 03:40:01 ",0.82
"03:50:01",0.29,0.53,0.01,"2018-12-06 03:50:01 ",0.83
"04:00:01",0.56,0.64,0.01,"2018-12-06 04:00:01 ",1.21
"04:10:01",0.42,0.71,0.28,"2018-12-06 04:10:01 ",1.41
"04:20:01",0.3,0.48,0.01,"2018-12-06 04:20:01 ",0.79
