"time","usr","sys","iowait","timestamp","total"
"00:10:01",0.07,0.05,0,"2018-11-04 00:10:01 ",0.12
"00:20:01",0.07,0.05,0,"2018-11-04 00:20:01 ",0.12
"00:30:01",0.07,0.05,0,"2018-11-04 00:30:01 ",0.12
"00:40:01",0.07,0.05,0,"2018-11-04 00:40:01 ",0.12
"00:50:01",0.07,0.05,0,"2018-11-04 00:50:01 ",0.12
"01:00:01",0.07,0.05,0,"2018-11-04 01:00:01 ",0.12
"01:10:01",0.06,0.05,0,"2018-11-04 01:10:01 ",0.11
"01:20:01",0.07,0.05,0,"2018-11-04 01:20:01 ",0.12
"01:30:01",0.07,0.05,0,"2018-11-04 01:30:01 ",0.12
"01:40:01",0.07,0.05,0,"2018-11-04 01:40:01 ",0.12
"01:50:01",0.06,0.05,0,"2018-11-04 01:50:01 ",0.11
"02:00:01",0.07,0.05,0,"2018-11-04 02:00:01 ",0.12
"02:10:01",0.07,0.05,0,"2018-11-04 02:10:01 ",0.12
"02:20:01",0.07,0.05,0,"2018-11-04 02:20:01 ",0.12
"02:30:01",0.07,0.05,0,"2018-11-04 02:30:01 ",0.12
"02:40:01",0.07,0.05,0,"2018-11-04 02:40:01 ",0.12
"02:50:01",0.07,0.05,0,"2018-11-04 02:50:01 ",0.12
"03:00:01",0.07,0.05,0,"2018-11-04 03:00:01 ",0.12
"03:10:01",0.07,0.05,0,"2018-11-04 03:10:01 ",0.12
"03:20:01",0.07,0.05,0,"2018-11-04 03:20:01 ",0.12
"03:30:01",0.07,0.05,0,"2018-11-04 03:30:01 ",0.12
"03:40:01",0.07,0.05,0,"2018-11-04 03:40:01 ",0.12
"03:50:01",0.07,0.05,0,"2018-11-04 03:50:01 ",0.12
"04:00:01",0.07,0.05,0,"2018-11-04 04:00:01 ",0.12
"04:10:01",0.09,0.07,0,"2018-11-04 04:10:01 ",0.16
"04:20:01",0.07,0.05,0,"2018-11-04 04:20:01 ",0.12
"04:30:01",1.44,1.27,0,"2018-11-04 04:30:01 ",2.71
"04:40:01",0.06,0.05,0,"2018-11-04 04:40:01 ",0.11
"04:50:01",0.06,0.05,0,"2018-11-04 04:50:01 ",0.11
"05:00:01",0.07,0.05,0,"2018-11-04 05:00:01 ",0.12
"05:10:01",0.07,0.05,0,"2018-11-04 05:10:01 ",0.12
"05:20:01",0.07,0.05,0,"2018-11-04 05:20:01 ",0.12
"05:30:01",0.07,0.05,0,"2018-11-04 05:30:01 ",0.12
"05:40:01",0.07,0.05,0,"2018-11-04 05:40:01 ",0.12
"05:50:01",0.07,0.05,0,"2018-11-04 05:50:01 ",0.12
"06:00:02",0.07,0.05,0,"2018-11-04 06:00:02 ",0.12
"06:10:01",0.08,0.05,0,"2018-11-04 06:10:01 ",0.13
"06:20:01",0.07,0.05,0,"2018-11-04 06:20:01 ",0.12
"06:30:01",0.07,0.05,0,"2018-11-04 06:30:01 ",0.12
"06:40:01",0.07,0.05,0,"2018-11-04 06:40:01 ",0.12
"06:50:01",0.07,0.05,0,"2018-11-04 06:50:01 ",0.12
"07:00:01",0.07,0.05,0,"2018-11-04 07:00:01 ",0.12
"07:10:01",0.06,0.05,0,"2018-11-04 07:10:01 ",0.11
"07:20:01",0.07,0.05,0,"2018-11-04 07:20:01 ",0.12
"07:30:01",0.07,0.05,0,"2018-11-04 07:30:01 ",0.12
"07:40:01",0.07,0.05,0,"2018-11-04 07:40:01 ",0.12
"07:50:01",0.07,0.05,0,"2018-11-04 07:50:01 ",0.12
"08:00:01",0.07,0.05,0,"2018-11-04 08:00:01 ",0.12
"08:10:01",0.07,0.05,0,"2018-11-04 08:10:01 ",0.12
"08:20:01",0.08,0.06,0,"2018-11-04 08:20:01 ",0.14
"08:30:01",0.07,0.05,0,"2018-11-04 08:30:01 ",0.12
"08:40:01",0.15,0.05,0.05,"2018-11-04 08:40:01 ",0.25
"08:50:01",0.11,0.05,0,"2018-11-04 08:50:01 ",0.16
"09:00:01",0.16,0.05,0.03,"2018-11-04 09:00:01 ",0.24
"09:10:01",0.18,0.05,0,"2018-11-04 09:10:01 ",0.23
"09:20:01",0.14,0.05,0,"2018-11-04 09:20:01 ",0.19
"09:30:01",0.11,0.05,0,"2018-11-04 09:30:01 ",0.16
"09:40:01",0.1,0.05,0,"2018-11-04 09:40:01 ",0.15
