"time","usr","sys","iowait","timestamp","total"
"00:10:01",0.27,0.05,0,"2018-11-30 00:10:01 ",0.32
"00:20:01",0.24,0.05,0,"2018-11-30 00:20:01 ",0.29
"00:30:02",0.27,0.05,0,"2018-11-30 00:30:02 ",0.32
"00:40:01",0.29,0.06,0,"2018-11-30 00:40:01 ",0.35
"00:50:01",0.28,0.05,0,"2018-11-30 00:50:01 ",0.33
"01:00:01",0.25,0.05,0,"2018-11-30 01:00:01 ",0.3
"01:10:01",0.27,0.05,0,"2018-11-30 01:10:01 ",0.32
"01:20:01",0.26,0.05,0,"2018-11-30 01:20:01 ",0.31
"01:30:01",0.26,0.06,0,"2018-11-30 01:30:01 ",0.32
"01:40:01",0.24,0.05,0,"2018-11-30 01:40:01 ",0.29
"01:50:01",0.24,0.05,0,"2018-11-30 01:50:01 ",0.29
"02:00:01",0.24,0.05,0,"2018-11-30 02:00:01 ",0.29
"02:10:01",0.24,0.05,0,"2018-11-30 02:10:01 ",0.29
"02:20:01",0.31,0.07,0,"2018-11-30 02:20:01 ",0.38
"02:30:01",0.24,0.05,0,"2018-11-30 02:30:01 ",0.29
"02:40:01",0.24,0.05,0,"2018-11-30 02:40:01 ",0.29
"02:50:01",0.4,0.07,0,"2018-11-30 02:50:01 ",0.47
"03:00:01",0.27,0.06,0,"2018-11-30 03:00:01 ",0.33
"03:10:01",0.25,0.05,0,"2018-11-30 03:10:01 ",0.3
"03:20:01",0.23,0.05,0,"2018-11-30 03:20:01 ",0.28
"03:30:01",0.24,0.05,0,"2018-11-30 03:30:01 ",0.29
"03:40:01",0.25,0.05,0,"2018-11-30 03:40:01 ",0.3
"03:50:01",0.24,0.05,0,"2018-11-30 03:50:01 ",0.29
"04:00:01",0.29,0.07,0,"2018-11-30 04:00:01 ",0.36
"04:10:01",0.29,0.07,0,"2018-11-30 04:10:01 ",0.36
"04:20:01",0.24,0.05,0,"2018-11-30 04:20:01 ",0.29
"04:30:01",0.25,0.05,0,"2018-11-30 04:30:01 ",0.3
"04:40:01",0.24,0.05,0,"2018-11-30 04:40:01 ",0.29
"04:50:01",0.3,0.07,0,"2018-11-30 04:50:01 ",0.37
"05:00:01",0.23,0.05,0,"2018-11-30 05:00:01 ",0.28
"05:10:01",0.24,0.05,0,"2018-11-30 05:10:01 ",0.29
"05:20:01",0.23,0.05,0,"2018-11-30 05:20:01 ",0.28
"05:30:01",0.22,0.05,0,"2018-11-30 05:30:01 ",0.27
"05:40:01",0.24,0.05,0,"2018-11-30 05:40:01 ",0.29
"05:50:01",0.3,0.07,0,"2018-11-30 05:50:01 ",0.37
"06:00:01",0.24,0.05,0,"2018-11-30 06:00:01 ",0.29
