"time","usr","sys","iowait","timestamp","total"
"00:10:01",0.19,0.05,0,"2018-11-25 00:10:01 ",0.24
"00:20:01",0.19,0.05,0,"2018-11-25 00:20:01 ",0.24
"00:30:01",0.2,0.05,0,"2018-11-25 00:30:01 ",0.25
"00:40:01",0.2,0.05,0,"2018-11-25 00:40:01 ",0.25
"00:50:01",0.19,0.05,0,"2018-11-25 00:50:01 ",0.24
"01:00:01",0.19,0.05,0,"2018-11-25 01:00:01 ",0.24
"01:10:01",0.2,0.05,0,"2018-11-25 01:10:01 ",0.25
"01:20:01",0.18,0.05,0,"2018-11-25 01:20:01 ",0.23
"01:30:01",0.18,0.05,0,"2018-11-25 01:30:01 ",0.23
"01:40:01",0.2,0.05,0,"2018-11-25 01:40:01 ",0.25
"01:50:01",0.27,3.98,4.01,"2018-11-25 01:50:01 ",8.26
"02:00:01",0.2,0.91,0.48,"2018-11-25 02:00:01 ",1.59
"02:10:01",0.19,0.05,0,"2018-11-25 02:10:01 ",0.24
"02:20:01",0.19,0.05,0,"2018-11-25 02:20:01 ",0.24
"02:30:01",0.2,0.05,0,"2018-11-25 02:30:01 ",0.25
"02:40:01",0.19,0.05,0,"2018-11-25 02:40:01 ",0.24
"02:50:01",0.19,0.05,0,"2018-11-25 02:50:01 ",0.24
"03:00:01",0.19,0.05,0,"2018-11-25 03:00:01 ",0.24
"03:10:01",0.19,0.05,0,"2018-11-25 03:10:01 ",0.24
"03:20:01",0.19,0.05,0,"2018-11-25 03:20:01 ",0.24
"03:30:01",0.19,0.05,0,"2018-11-25 03:30:01 ",0.24
"03:40:01",0.19,0.05,0,"2018-11-25 03:40:01 ",0.24
"03:50:01",0.19,0.05,0,"2018-11-25 03:50:01 ",0.24
"04:00:01",0.19,0.05,0,"2018-11-25 04:00:01 ",0.24
"04:10:01",1.12,0.83,0,"2018-11-25 04:10:01 ",1.95
"04:20:01",0.19,0.05,0,"2018-11-25 04:20:01 ",0.24
"04:30:01",1.06,0.8,0,"2018-11-25 04:30:01 ",1.86
"04:40:01",0.2,0.05,0,"2018-11-25 04:40:01 ",0.25
"04:50:01",0.2,0.05,0,"2018-11-25 04:50:01 ",0.25
"05:00:01",0.19,0.05,0,"2018-11-25 05:00:01 ",0.24
"05:10:01",0.2,0.05,0,"2018-11-25 05:10:01 ",0.25
"05:20:01",0.19,0.05,0,"2018-11-25 05:20:01 ",0.24
"05:30:01",0.2,0.05,0,"2018-11-25 05:30:01 ",0.25
"05:40:01",0.2,0.05,0,"2018-11-25 05:40:01 ",0.25
"05:50:01",0.19,0.05,0,"2018-11-25 05:50:01 ",0.24
"06:00:01",0.19,0.06,0,"2018-11-25 06:00:01 ",0.25
"06:10:01",0.27,0.06,0,"2018-11-25 06:10:01 ",0.33
"06:20:01",0.19,0.05,0,"2018-11-25 06:20:01 ",0.24
"06:30:01",0.2,0.05,0,"2018-11-25 06:30:01 ",0.25
"06:40:01",0.2,0.05,0,"2018-11-25 06:40:01 ",0.25
"06:50:01",0.2,0.05,0,"2018-11-25 06:50:01 ",0.25
"07:00:01",0.2,0.05,0,"2018-11-25 07:00:01 ",0.25
"07:10:01",0.2,0.05,0,"2018-11-25 07:10:01 ",0.25
"07:20:01",0.19,0.05,0,"2018-11-25 07:20:01 ",0.24
"07:30:01",0.2,0.05,0,"2018-11-25 07:30:01 ",0.25
"07:40:01",0.19,0.05,0,"2018-11-25 07:40:01 ",0.24
"07:50:01",0.19,0.05,0,"2018-11-25 07:50:01 ",0.24
"08:00:01",0.2,0.05,0,"2018-11-25 08:00:01 ",0.25
"08:10:01",0.19,0.05,0,"2018-11-25 08:10:01 ",0.24
"08:20:01",0.19,0.05,0,"2018-11-25 08:20:01 ",0.24
"08:30:01",0.19,0.05,0,"2018-11-25 08:30:01 ",0.24
"08:40:01",0.19,0.05,0,"2018-11-25 08:40:01 ",0.24
"08:50:01",0.19,0.05,0,"2018-11-25 08:50:01 ",0.24
"09:00:01",0.2,0.05,0,"2018-11-25 09:00:01 ",0.25
