"time","usr","sys","iowait","timestamp","total"
"00:10:01",0.56,1.91,0,"2018-10-30 00:10:01 ",2.47
"00:20:01",0.56,1.96,0,"2018-10-30 00:20:01 ",2.52
"00:30:01",0.57,1.96,0,"2018-10-30 00:30:01 ",2.53
"00:40:01",0.57,1.93,0,"2018-10-30 00:40:01 ",2.5
"00:50:01",0.57,2.02,0,"2018-10-30 00:50:01 ",2.59
"01:00:01",0.56,1.94,0,"2018-10-30 01:00:01 ",2.5
"01:10:01",0.56,1.88,0,"2018-10-30 01:10:01 ",2.44
"01:20:01",0.57,1.87,0,"2018-10-30 01:20:01 ",2.44
"01:30:01",0.56,1.9,0,"2018-10-30 01:30:01 ",2.46
"01:40:01",0.56,1.88,0,"2018-10-30 01:40:01 ",2.44
"01:50:01",0.57,1.9,0,"2018-10-30 01:50:01 ",2.47
"02:00:01",0.56,1.92,0,"2018-10-30 02:00:01 ",2.48
"02:10:01",0.56,1.95,0,"2018-10-30 02:10:01 ",2.51
"02:20:02",0.5,1.67,0,"2018-10-30 02:20:02 ",2.17
"02:30:01",0.56,1.84,0,"2018-10-30 02:30:01 ",2.4
"02:40:01",0.54,1.84,0,"2018-10-30 02:40:01 ",2.38
"02:50:01",0.56,1.87,0,"2018-10-30 02:50:01 ",2.43
"03:00:01",0.55,1.87,0,"2018-10-30 03:00:01 ",2.42
"03:10:01",0.56,1.87,0,"2018-10-30 03:10:01 ",2.43
"03:20:01",0.55,1.89,0,"2018-10-30 03:20:01 ",2.44
"03:30:01",0.56,1.88,0,"2018-10-30 03:30:01 ",2.44
"03:40:01",0.56,1.87,0,"2018-10-30 03:40:01 ",2.43
"03:50:01",0.55,1.92,0,"2018-10-30 03:50:01 ",2.47
"04:00:01",0.56,1.87,0,"2018-10-30 04:00:01 ",2.43
"04:10:01",0.59,1.96,0,"2018-10-30 04:10:01 ",2.55
"04:20:01",0.54,1.83,0,"2018-10-30 04:20:01 ",2.37
"04:30:01",0.56,1.92,0,"2018-10-30 04:30:01 ",2.48
"04:40:01",0.55,1.86,0,"2018-10-30 04:40:01 ",2.41
"04:50:01",0.57,1.88,0,"2018-10-30 04:50:01 ",2.45
"05:00:01",0.56,1.91,0,"2018-10-30 05:00:01 ",2.47
"05:10:01",0.56,1.88,0,"2018-10-30 05:10:01 ",2.44
"05:20:01",0.56,1.89,0,"2018-10-30 05:20:01 ",2.45
"05:30:01",0.57,1.89,0,"2018-10-30 05:30:01 ",2.46
"05:40:01",0.55,1.89,0,"2018-10-30 05:40:01 ",2.44
"05:50:01",0.57,1.9,0,"2018-10-30 05:50:01 ",2.47
"06:00:01",0.57,1.92,0,"2018-10-30 06:00:01 ",2.49
"06:10:01",0.56,1.88,0,"2018-10-30 06:10:01 ",2.44
"06:20:01",0.57,1.9,0,"2018-10-30 06:20:01 ",2.47
"06:30:01",0.58,1.95,0,"2018-10-30 06:30:01 ",2.53
"06:40:01",0.58,1.9,0,"2018-10-30 06:40:01 ",2.48
"06:50:01",0.61,2.11,0,"2018-10-30 06:50:01 ",2.72
"07:00:01",0.6,2.12,0,"2018-10-30 07:00:01 ",2.72
"07:10:01",0.61,2.16,0,"2018-10-30 07:10:01 ",2.77
"07:20:01",0.6,2.18,0,"2018-10-30 07:20:01 ",2.78
"07:30:01",0.61,2.26,0,"2018-10-30 07:30:01 ",2.87
"07:40:01",0.62,2.36,0,"2018-10-30 07:40:01 ",2.98
"07:50:01",0.62,2.45,0,"2018-10-30 07:50:01 ",3.07
"08:00:01",0.63,2.57,0,"2018-10-30 08:00:01 ",3.2
"08:10:01",0.66,2.68,0,"2018-10-30 08:10:01 ",3.34
"08:20:01",0.72,2.92,0,"2018-10-30 08:20:01 ",3.64
"08:30:02",0.72,3.08,0,"2018-10-30 08:30:02 ",3.8
"08:40:01",0.81,3.19,0,"2018-10-30 08:40:01 ",4
"08:50:01",0.82,3.17,0,"2018-10-30 08:50:01 ",3.99
"09:00:01",0.87,3.26,0,"2018-10-30 09:00:01 ",4.13
"09:10:01",0.84,3.41,0,"2018-10-30 09:10:01 ",4.25
"09:20:01",0.88,3.39,0,"2018-10-30 09:20:01 ",4.27
"09:30:01",0.85,3.63,0,"2018-10-30 09:30:01 ",4.48
"09:40:01",0.84,3.58,0,"2018-10-30 09:40:01 ",4.42
"09:50:01",0.82,3.49,0,"2018-10-30 09:50:01 ",4.31
"10:00:01",0.8,3.33,0,"2018-10-30 10:00:01 ",4.13
"10:10:01",1.44,5.51,0,"2018-10-30 10:10:01 ",6.95
"10:20:01",1.78,6.61,0,"2018-10-30 10:20:01 ",8.39
"10:30:01",1.8,6.67,0,"2018-10-30 10:30:01 ",8.47
"10:40:01",1.74,6.34,0,"2018-10-30 10:40:01 ",8.08
"10:50:01",1.81,6.44,0,"2018-10-30 10:50:01 ",8.25
"11:00:01",1.26,3.72,0,"2018-10-30 11:00:01 ",4.98
"11:10:01",1.28,3.12,0,"2018-10-30 11:10:01 ",4.4
"11:20:01",1.26,3.03,0,"2018-10-30 11:20:01 ",4.29
"11:30:01",1.1,3.06,0,"2018-10-30 11:30:01 ",4.16
"11:40:01",1.13,2.97,0,"2018-10-30 11:40:01 ",4.1
"11:50:01",1.12,2.95,0,"2018-10-30 11:50:01 ",4.07
"12:00:01",1.04,2.76,0,"2018-10-30 12:00:01 ",3.8
"12:10:01",0.94,2.53,0,"2018-10-30 12:10:01 ",3.47
"12:20:01",0.93,2.6,0,"2018-10-30 12:20:01 ",3.53
"12:30:01",0.98,2.69,0,"2018-10-30 12:30:01 ",3.67
"12:40:01",0.96,2.73,0,"2018-10-30 12:40:01 ",3.69
"12:50:01",0.93,2.66,0,"2018-10-30 12:50:01 ",3.59
"13:00:01",0.95,2.69,0,"2018-10-30 13:00:01 ",3.64
"13:10:01",1.03,2.86,0,"2018-10-30 13:10:01 ",3.89
"13:20:01",0.74,1.56,0,"2018-10-30 13:20:01 ",2.3
"13:30:01",0.39,0.11,0,"2018-10-30 13:30:01 ",0.5
"13:40:01",0.41,0.1,0,"2018-10-30 13:40:01 ",0.51
"13:50:01",0.42,0.11,0,"2018-10-30 13:50:01 ",0.53
"14:00:02",0.37,0.11,0,"2018-10-30 14:00:02 ",0.48
"14:10:01",0.41,0.11,0,"2018-10-30 14:10:01 ",0.52
"14:20:01",0.41,0.11,0,"2018-10-30 14:20:01 ",0.52
"14:30:01",0.35,0.1,0,"2018-10-30 14:30:01 ",0.45
"14:40:01",0.44,0.12,0,"2018-10-30 14:40:01 ",0.56
"14:50:01",0.37,0.1,0,"2018-10-30 14:50:01 ",0.47
"15:00:01",0.37,0.11,0,"2018-10-30 15:00:01 ",0.48
"15:10:01",0.35,0.1,0,"2018-10-30 15:10:01 ",0.45
"15:20:01",0.29,0.08,0,"2018-10-30 15:20:01 ",0.37
"15:30:01",0.44,0.12,0,"2018-10-30 15:30:01 ",0.56
"15:40:01",0.36,0.1,0,"2018-10-30 15:40:01 ",0.46
"15:50:01",0.46,0.12,0,"2018-10-30 15:50:01 ",0.58
"16:00:01",0.54,0.14,0,"2018-10-30 16:00:01 ",0.68
"16:10:01",0.46,0.12,0,"2018-10-30 16:10:01 ",0.58
"16:20:01",0.51,0.14,0,"2018-10-30 16:20:01 ",0.65
"16:30:01",0.55,0.14,0,"2018-10-30 16:30:01 ",0.69
"16:40:01",0.47,0.12,0,"2018-10-30 16:40:01 ",0.59
"16:50:01",0.47,0.12,0,"2018-10-30 16:50:01 ",0.59
"17:00:01",0.35,0.1,0,"2018-10-30 17:00:01 ",0.45
"17:10:01",0.37,0.1,0,"2018-10-30 17:10:01 ",0.47
"17:20:01",0.39,0.1,0,"2018-10-30 17:20:01 ",0.49
"17:30:01",0.45,0.12,0,"2018-10-30 17:30:01 ",0.57
"17:40:01",0.41,0.11,0,"2018-10-30 17:40:01 ",0.52
"17:50:01",0.39,0.1,0,"2018-10-30 17:50:01 ",0.49
"18:00:01",0.39,0.11,0,"2018-10-30 18:00:01 ",0.5
"18:10:01",0.41,0.11,0,"2018-10-30 18:10:01 ",0.52
"18:20:01",0.51,0.12,0,"2018-10-30 18:20:01 ",0.63
"18:30:01",0.41,2.07,0,"2018-10-30 18:30:01 ",2.48
"18:40:01",0.28,0.08,0,"2018-10-30 18:40:01 ",0.36
"18:50:01",0.37,0.09,0,"2018-10-30 18:50:01 ",0.46
"19:00:01",0.38,0.1,0,"2018-10-30 19:00:01 ",0.48
"19:10:01",0.35,0.09,0,"2018-10-30 19:10:01 ",0.44
