"","time","cpu","usr","sys","iowait","total"
"1","12:10:01","all",0.67,0.18,0.01,0.86
"26","12:20:01","all",0.65,0.18,0.01,0.84
"51","12:30:01","all",0.66,0.18,0,0.84
"76","12:40:01","all",0.63,0.18,0,0.81
"101","12:50:01","all",0.74,0.18,0,0.92
"126","01:00:01","all",0.65,0.17,0,0.82
"151","01:10:01","all",0.75,0.18,0,0.93
"176","01:20:01","all",0.77,0.18,0,0.95
"201","01:30:01","all",0.62,0.17,0.01,0.8
"226","01:40:01","all",0.56,0.17,0.06,0.79
"251","01:50:01","all",0.61,0.17,0.01,0.79
"276","02:00:01","all",0.91,0.19,0.01,1.11
"301","02:10:01","all",0.66,0.17,0.01,0.84
"326","02:20:01","all",0.56,0.17,0,0.73
"351","02:30:01","all",0.6,0.17,0,0.77
"376","02:40:01","all",0.39,0.67,5.29,6.35
"401","02:50:02","all",0.52,0.32,1.79,2.63
"426","03:00:01","all",0.52,0.16,0,0.68
"451","03:10:01","all",0.57,0.17,0.01,0.75
"476","03:20:01","all",0.52,0.17,0.01,0.7
"501","03:30:01","all",0.56,0.17,0,0.73
"526","03:40:01","all",0.58,0.17,0.01,0.76
"551","03:50:01","all",0.47,0.17,0.01,0.65
"576","04:00:01","all",0.67,0.18,0.01,0.86
"601","04:10:01","all",0.65,0.18,0.01,0.84
"626","04:20:01","all",0.58,0.17,0.01,0.76
"651","04:30:01","all",0.51,0.16,0.01,0.68
"676","04:40:01","all",0.53,0.17,0,0.7
"701","04:50:01","all",0.53,0.17,0,0.7
"726","05:00:01","all",0.61,0.17,0.01,0.79
"751","05:10:01","all",0.78,0.18,0.01,0.97
"776","05:20:01","all",0.51,0.16,0,0.67
"801","05:30:01","all",0.7,0.18,0.01,0.89
"826","05:40:01","all",0.81,0.19,0.01,1.01
"851","05:50:01","all",0.77,0.18,0.01,0.96
"876","06:00:01","all",0.66,0.17,0.01,0.84
"901","06:10:01","all",0.5,0.16,0.01,0.67
"926","06:20:01","all",0.54,0.17,0.01,0.72
"951","06:30:01","all",0.71,0.17,0.01,0.89
"976","06:40:01","all",0.66,0.18,0.01,0.85
"1001","06:50:01","all",0.74,0.18,0.01,0.93
"1026","07:00:01","all",0.68,0.17,0.01,0.86
"1051","07:10:01","all",0.69,0.17,0.01,0.87
"1077","07:20:01","all",0.73,0.18,0.01,0.92
"1102","07:30:01","all",0.81,0.19,0.01,1.01
"1127","07:40:02","all",1.07,0.21,0.01,1.29
"1152","07:50:01","all",0.72,0.18,0.01,0.91
"1177","08:00:01","all",0.73,0.17,0.01,0.91
"1202","08:10:01","all",0.99,0.19,0.02,1.2
"1227","08:20:01","all",1.03,0.2,0.02,1.25
"1252","08:30:01","all",0.97,0.19,0.02,1.18
"1277","08:40:01","all",1.12,0.21,0.02,1.35
"1302","08:50:01","all",1.17,0.21,0.02,1.4
"1327","09:00:01","all",1.14,0.21,0.02,1.37
"1352","09:10:01","all",1.14,0.21,0.02,1.37
"1377","09:20:01","all",1.15,0.2,0.01,1.36
"1402","09:30:01","all",1.13,0.21,0.01,1.35
"1427","09:40:01","all",1.18,0.22,0.01,1.41
"1452","09:50:01","all",1.13,0.22,0.01,1.36
"1477","10:00:01","all",1.09,0.22,0.02,1.33
"1502","10:10:01","all",1.33,0.24,0.01,1.58
