"","time","ampm","usr","sys","iowait","timestamp","total"
"1","12:10:01","AM",0.64,0.18,0,"12:10:01 AM",0.82
"26","12:20:01","AM",0.71,0.18,0.01,"12:20:01 AM",0.9
"51","12:30:01","AM",0.76,0.19,0.01,"12:30:01 AM",0.96
"76","12:40:01","AM",0.67,0.18,0,"12:40:01 AM",0.85
"101","12:50:01","AM",0.7,0.18,0,"12:50:01 AM",0.88
"126","01:00:01","AM",0.7,0.18,0.01,"01:00:01 AM",0.89
"151","01:10:01","AM",0.93,0.19,0.01,"01:10:01 AM",1.13
"176","01:20:01","AM",0.73,0.18,0.01,"01:20:01 AM",0.92
"201","01:30:01","AM",0.72,0.18,0.01,"01:30:01 AM",0.91
"226","01:40:01","AM",0.81,0.19,0.09,"01:40:01 AM",1.09
"251","01:50:01","AM",0.54,0.17,0,"01:50:01 AM",0.71
"276","02:00:01","AM",0.73,0.17,0,"02:00:01 AM",0.9
"301","02:10:01","AM",0.63,0.17,0.01,"02:10:01 AM",0.81
"326","02:20:01","AM",0.67,0.17,0,"02:20:01 AM",0.84
"351","02:30:01","AM",0.76,0.18,0,"02:30:01 AM",0.94
"376","02:40:01","AM",0.41,0.68,5.36,"02:40:01 AM",6.45
"401","02:50:01","AM",0.65,0.34,1.87,"02:50:01 AM",2.86
"426","03:00:01","AM",0.49,0.16,0,"03:00:01 AM",0.65
"451","03:10:01","AM",0.57,0.17,0.01,"03:10:01 AM",0.75
"476","03:20:01","AM",0.6,0.17,0.01,"03:20:01 AM",0.78
"501","03:30:01","AM",0.56,0.17,0.01,"03:30:01 AM",0.74
"526","03:40:01","AM",0.59,0.17,0,"03:40:01 AM",0.76
"551","03:50:01","AM",0.6,0.17,0.01,"03:50:01 AM",0.78
"576","04:00:01","AM",0.5,0.16,0,"04:00:01 AM",0.66
"601","04:10:01","AM",0.78,0.18,0.02,"04:10:01 AM",0.98
"626","04:20:01","AM",0.59,0.16,0.01,"04:20:01 AM",0.76
"651","04:30:01","AM",0.57,0.16,0,"04:30:01 AM",0.73
"676","04:40:01","AM",0.56,0.16,0,"04:40:01 AM",0.72
"701","04:50:01","AM",0.63,0.17,0,"04:50:01 AM",0.8
"726","05:00:01","AM",0.69,0.18,0.01,"05:00:01 AM",0.88
"751","05:10:01","AM",0.66,0.17,0,"05:10:01 AM",0.83
"776","05:20:01","AM",0.69,0.17,0,"05:20:01 AM",0.86
"801","05:30:01","AM",0.56,0.16,0,"05:30:01 AM",0.72
"826","05:40:01","AM",0.61,0.17,0,"05:40:01 AM",0.78
"851","05:50:01","AM",0.56,0.16,0,"05:50:01 AM",0.72
"876","06:00:01","AM",0.77,0.18,0,"06:00:01 AM",0.95
"901","06:10:01","AM",0.6,0.17,0,"06:10:01 AM",0.77
"926","06:20:01","AM",0.62,0.17,0,"06:20:01 AM",0.79
"951","06:30:01","AM",0.61,0.17,0,"06:30:01 AM",0.78
"976","06:40:01","AM",0.75,0.18,0.01,"06:40:01 AM",0.94
"1001","06:50:01","AM",0.67,0.17,0,"06:50:01 AM",0.84
"1026","07:00:01","AM",0.65,0.17,0.01,"07:00:01 AM",0.83
"1051","07:10:01","AM",0.72,0.18,0,"07:10:01 AM",0.9
"1077","07:20:01","AM",0.69,0.18,0.01,"07:20:01 AM",0.88
"1102","07:30:01","AM",0.81,0.18,0,"07:30:01 AM",0.99
"1127","07:40:01","AM",0.69,0.18,0,"07:40:01 AM",0.87
"1152","07:50:01","AM",0.8,0.19,0.01,"07:50:01 AM",1
"1177","08:00:01","AM",0.92,0.18,0.01,"08:00:01 AM",1.11
"1202","08:10:01","AM",0.89,0.19,0.01,"08:10:01 AM",1.09
"1227","08:20:01","AM",0.93,0.19,0.01,"08:20:01 AM",1.13
"1252","08:30:01","AM",1,0.2,0.01,"08:30:01 AM",1.21
"1277","08:40:01","AM",1.19,0.22,0.01,"08:40:01 AM",1.42
"1302","08:50:01","AM",1.02,0.2,0.01,"08:50:01 AM",1.23
"1327","09:00:01","AM",1.1,0.21,0.01,"09:00:01 AM",1.32
"1352","09:10:01","AM",1.16,0.23,0.01,"09:10:01 AM",1.4
"1377","09:20:01","AM",1.18,0.22,0.01,"09:20:01 AM",1.41
"1402","09:30:02","AM",1.23,0.22,0.01,"09:30:02 AM",1.46
"1427","09:40:01","AM",1.33,0.23,0.02,"09:40:01 AM",1.58
"1452","09:50:01","AM",1.48,0.24,0.02,"09:50:01 AM",1.74
"1477","10:00:01","AM",1.53,0.24,0.02,"10:00:01 AM",1.79
"1502","10:10:01","AM",1.27,0.24,0.01,"10:10:01 AM",1.52
"1527","10:20:01","AM",1.47,0.24,0.02,"10:20:01 AM",1.73
"1552","10:30:01","AM",1.4,0.25,0.01,"10:30:01 AM",1.66
"1577","10:40:01","AM",1.22,0.23,0.02,"10:40:01 AM",1.47
"1602","10:50:01","AM",1.29,0.24,0.01,"10:50:01 AM",1.54
"1627","11:00:01","AM",1.4,0.24,0.01,"11:00:01 AM",1.65
"1652","11:10:01","AM",1.33,0.24,0.02,"11:10:01 AM",1.59
"1677","11:20:01","AM",1.4,0.25,0.01,"11:20:01 AM",1.66
"1702","11:30:01","AM",1.51,0.23,0.02,"11:30:01 AM",1.76
"1727","11:40:01","AM",1.42,0.24,0.01,"11:40:01 AM",1.67
"1752","11:50:01","AM",1.34,0.23,0.02,"11:50:01 AM",1.59
"1777","12:00:01","PM",1.23,0.23,0.01,"12:00:01 PM",1.47
"1802","12:10:01","PM",1.13,0.22,0.01,"12:10:01 PM",1.36
"1827","12:20:01","PM",1.02,0.2,0.02,"12:20:01 PM",1.24
"1852","12:30:01","PM",1.11,0.22,0.01,"12:30:01 PM",1.34
"1877","12:40:01","PM",1.03,0.22,0.01,"12:40:01 PM",1.26
"1902","12:50:01","PM",1.02,0.22,0.01,"12:50:01 PM",1.25
"1927","01:00:01","PM",1.27,0.23,0.01,"01:00:01 PM",1.51
"1952","01:10:01","PM",1.13,0.22,0.01,"01:10:01 PM",1.36
"1977","01:20:01","PM",1.29,0.23,0.01,"01:20:01 PM",1.53
"2002","01:30:01","PM",1.09,0.22,0.01,"01:30:01 PM",1.32
"2027","01:40:01","PM",1.07,0.21,0.01,"01:40:01 PM",1.29
"2052","01:50:01","PM",1.15,0.21,0.01,"01:50:01 PM",1.37
"2077","02:00:01","PM",1.31,0.23,0.01,"02:00:01 PM",1.55
"2102","02:10:01","PM",1.21,0.23,0.01,"02:10:01 PM",1.45
"2127","02:20:01","PM",1.24,0.22,0.02,"02:20:01 PM",1.48
"2153","02:30:01","PM",1.27,0.23,0.01,"02:30:01 PM",1.51
"2178","02:40:01","PM",1.32,0.23,0.02,"02:40:01 PM",1.57
"2203","02:50:02","PM",1.36,0.23,0.02,"02:50:02 PM",1.61
"2228","03:00:01","PM",1.25,0.23,0.01,"03:00:01 PM",1.49
"2253","03:10:01","PM",1.25,0.24,0.01,"03:10:01 PM",1.5
"2278","03:20:01","PM",1.28,0.23,0.01,"03:20:01 PM",1.52
"2303","03:30:01","PM",1.31,0.23,0.01,"03:30:01 PM",1.55
"2328","03:40:01","PM",1.33,0.23,0.01,"03:40:01 PM",1.57
"2353","03:50:01","PM",1.29,0.23,0.01,"03:50:01 PM",1.53
"2378","04:00:01","PM",1.3,0.22,0.01,"04:00:01 PM",1.53
"2403","04:10:01","PM",1.3,0.23,0.01,"04:10:01 PM",1.54
"2428","04:20:01","PM",1.44,0.23,0.01,"04:20:01 PM",1.68
"2453","04:30:01","PM",1.21,0.22,0.01,"04:30:01 PM",1.44
"2478","04:40:01","PM",1.45,0.23,0.01,"04:40:01 PM",1.69
"2503","04:50:01","PM",1.29,0.22,0.01,"04:50:01 PM",1.52
"2528","05:00:01","PM",1.08,0.21,0.01,"05:00:01 PM",1.3
"2553","05:10:01","PM",1.17,0.22,0.01,"05:10:01 PM",1.4
"2578","05:20:01","PM",0.97,0.2,0.01,"05:20:01 PM",1.18
"2603","05:30:01","PM",0.82,0.19,0.01,"05:30:01 PM",1.02
"2628","05:40:01","PM",1.04,0.21,0.01,"05:40:01 PM",1.26
"2653","05:50:01","PM",1.17,0.22,0.01,"05:50:01 PM",1.4
"2678","06:00:01","PM",1.15,0.21,0.01,"06:00:01 PM",1.37
"2703","06:10:01","PM",0.97,0.2,0.01,"06:10:01 PM",1.18
"2728","06:20:01","PM",1,0.2,0.01,"06:20:01 PM",1.21
"2753","06:30:01","PM",0.98,0.2,0.01,"06:30:01 PM",1.19
"2778","06:40:01","PM",0.95,0.2,0,"06:40:01 PM",1.15
"2803","06:50:01","PM",0.91,0.19,0.01,"06:50:01 PM",1.11
"2828","07:00:01","PM",0.98,0.2,0.01,"07:00:01 PM",1.19
"2853","07:10:01","PM",0.96,0.2,0.01,"07:10:01 PM",1.17
"2878","07:20:01","PM",0.86,0.19,0.01,"07:20:01 PM",1.06
"2903","07:30:01","PM",1.16,0.21,0.01,"07:30:01 PM",1.38
"2928","07:40:01","PM",0.83,0.19,0.01,"07:40:01 PM",1.03
"2953","07:50:01","PM",0.81,0.19,0.01,"07:50:01 PM",1.01
"2978","08:00:01","PM",0.96,0.2,0.01,"08:00:01 PM",1.17
"3003","08:10:01","PM",0.87,0.19,0.01,"08:10:01 PM",1.07
"3028","08:20:01","PM",0.96,0.2,0.01,"08:20:01 PM",1.17
"3053","08:30:01","PM",0.99,0.2,0.01,"08:30:01 PM",1.2
"3078","08:40:01","PM",0.89,0.2,0.01,"08:40:01 PM",1.1
"3103","08:50:01","PM",0.86,0.19,0.01,"08:50:01 PM",1.06
"3128","09:00:01","PM",0.92,0.2,0.01,"09:00:01 PM",1.13
"3153","09:10:01","PM",1.14,0.2,0.01,"09:10:01 PM",1.35
"3178","09:20:01","PM",1.07,0.2,0.01,"09:20:01 PM",1.28
"3203","09:30:01","PM",0.69,0.18,0,"09:30:01 PM",0.87
"3229","09:40:01","PM",0.84,0.19,0.01,"09:40:01 PM",1.04
"3254","09:50:01","PM",0.7,0.18,0.01,"09:50:01 PM",0.89
"3279","10:00:01","PM",0.71,0.18,0.01,"10:00:01 PM",0.9
"3304","10:10:01","PM",0.73,0.18,0.01,"10:10:01 PM",0.92
"3329","10:20:01","PM",0.95,0.2,0.01,"10:20:01 PM",1.16
"3354","10:30:01","PM",0.8,0.19,0,"10:30:01 PM",0.99
"3379","10:40:01","PM",0.95,0.2,0.01,"10:40:01 PM",1.16
"3404","10:50:01","PM",0.91,0.19,0.01,"10:50:01 PM",1.11
"3429","11:00:01","PM",0.83,0.19,0,"11:00:01 PM",1.02
"3454","11:10:01","PM",0.82,0.19,0.01,"11:10:01 PM",1.02
"3479","11:20:01","PM",0.74,0.18,0.01,"11:20:01 PM",0.93
"3504","11:30:01","PM",0.7,0.18,0.01,"11:30:01 PM",0.89
"3529","11:40:01","PM",0.8,0.19,0.01,"11:40:01 PM",1
"3554","11:50:01","PM",0.7,0.18,0,"11:50:01 PM",0.88
