"time","ampm","usr","sys","iowait","timestamp","total"
"12:10:01","AM",1.14,0.22,0.01,"2018-11-29 12:10:01 AM",1.37
"12:20:01","AM",0.85,0.2,0.01,"2018-11-29 12:20:01 AM",1.06
"12:30:02","AM",0.75,0.19,0.01,"2018-11-29 12:30:02 AM",0.95
"12:40:01","AM",0.75,0.19,0.01,"2018-11-29 12:40:01 AM",0.95
"12:50:01","AM",0.8,0.19,0.01,"2018-11-29 12:50:01 AM",1
"01:00:01","AM",1.13,0.21,0.01,"2018-11-29 01:00:01 AM",1.35
"01:10:01","AM",0.85,0.19,0.01,"2018-11-29 01:10:01 AM",1.05
"01:20:01","AM",0.68,0.18,0.01,"2018-11-29 01:20:01 AM",0.87
"01:30:01","AM",0.68,0.18,0.01,"2018-11-29 01:30:01 AM",0.87
"01:40:01","AM",0.74,0.18,0.01,"2018-11-29 01:40:01 AM",0.93
"01:50:01","AM",0.85,0.19,0.01,"2018-11-29 01:50:01 AM",1.05
"02:00:01","AM",0.72,0.18,0.01,"2018-11-29 02:00:01 AM",0.91
"02:10:02","AM",0.74,0.18,0.01,"2018-11-29 02:10:02 AM",0.93
"02:20:01","AM",0.71,0.18,0.01,"2018-11-29 02:20:01 AM",0.9
"02:30:01","AM",0.68,0.17,0.01,"2018-11-29 02:30:01 AM",0.86
"02:40:01","AM",0.69,0.17,0,"2018-11-29 02:40:01 AM",0.86
"02:50:01","AM",0.68,0.17,0.01,"2018-11-29 02:50:01 AM",0.86
"03:00:01","AM",0.77,0.19,0,"2018-11-29 03:00:01 AM",0.96
"03:10:01","AM",0.62,0.17,0.01,"2018-11-29 03:10:01 AM",0.8
"03:20:01","AM",0.67,0.17,0,"2018-11-29 03:20:01 AM",0.84
"03:30:01","AM",0.73,0.18,0.01,"2018-11-29 03:30:01 AM",0.92
"03:40:01","AM",0.53,0.17,0,"2018-11-29 03:40:01 AM",0.7
"03:50:01","AM",0.77,0.19,0,"2018-11-29 03:50:01 AM",0.96
"04:00:01","AM",0.49,0.17,0.01,"2018-11-29 04:00:01 AM",0.67
"04:10:01","AM",0.86,0.2,0.01,"2018-11-29 04:10:01 AM",1.07
"04:20:01","AM",0.67,0.18,0.01,"2018-11-29 04:20:01 AM",0.86
"04:30:01","AM",0.63,0.18,0.01,"2018-11-29 04:30:01 AM",0.82
"04:40:01","AM",0.68,0.18,0.01,"2018-11-29 04:40:01 AM",0.87
"04:50:01","AM",1.04,0.21,0.01,"2018-11-29 04:50:01 AM",1.26
"05:00:01","AM",0.62,0.17,0,"2018-11-29 05:00:01 AM",0.79
"05:10:01","AM",0.69,0.18,0.01,"2018-11-29 05:10:01 AM",0.88
"05:20:01","AM",0.73,0.18,0.01,"2018-11-29 05:20:01 AM",0.92
"05:30:01","AM",0.66,0.18,0.01,"2018-11-29 05:30:01 AM",0.85
"05:40:01","AM",0.92,0.2,0.01,"2018-11-29 05:40:01 AM",1.13
"05:50:01","AM",0.93,0.19,0.01,"2018-11-29 05:50:01 AM",1.13
"06:00:01","AM",0.82,0.19,0.01,"2018-11-29 06:00:01 AM",1.02
"06:10:01","AM",0.85,0.2,0.01,"2018-11-29 06:10:01 AM",1.06
"06:20:01","AM",0.95,0.2,0.01,"2018-11-29 06:20:01 AM",1.16
"06:30:01","AM",1,0.2,0.01,"2018-11-29 06:30:01 AM",1.21
"06:40:01","AM",0.94,0.2,0.01,"2018-11-29 06:40:01 AM",1.15
"06:50:01","AM",0.85,0.19,0.02,"2018-11-29 06:50:01 AM",1.06
"07:00:01","AM",0.92,0.2,0.02,"2018-11-29 07:00:01 AM",1.14
"07:10:01","AM",1,0.2,0.01,"2018-11-29 07:10:01 AM",1.21
"07:20:01","AM",0.83,0.19,0.01,"2018-11-29 07:20:01 AM",1.03
"07:30:01","AM",1.07,0.21,0.01,"2018-11-29 07:30:01 AM",1.29
"07:40:01","AM",1.21,0.22,0.02,"2018-11-29 07:40:01 AM",1.45
"07:50:01","AM",1.25,0.23,0.02,"2018-11-29 07:50:01 AM",1.5
"08:00:01","AM",1.51,0.26,0.02,"2018-11-29 08:00:01 AM",1.79
"08:10:01","AM",1.64,0.28,0.03,"2018-11-29 08:10:01 AM",1.95
"08:20:01","AM",1.75,0.29,0.03,"2018-11-29 08:20:01 AM",2.07
"08:30:01","AM",2.06,0.32,0.03,"2018-11-29 08:30:01 AM",2.41
"08:40:01","AM",2.2,0.33,0.04,"2018-11-29 08:40:01 AM",2.57
"08:50:01","AM",2.33,0.34,0.04,"2018-11-29 08:50:01 AM",2.71
"09:00:01","AM",2.33,0.34,0.05,"2018-11-29 09:00:01 AM",2.72
"09:10:01","AM",2.31,0.35,0.04,"2018-11-29 09:10:01 AM",2.7
"09:20:01","AM",2.28,0.35,0.05,"2018-11-29 09:20:01 AM",2.68
"09:30:01","AM",2.98,0.36,0.05,"2018-11-29 09:30:01 AM",3.39
"09:40:01","AM",2.58,0.37,0.05,"2018-11-29 09:40:01 AM",3
"09:50:01","AM",2.64,0.38,0.06,"2018-11-29 09:50:01 AM",3.08
"10:00:01","AM",2.5,0.35,0.05,"2018-11-29 10:00:01 AM",2.9
"10:10:01","AM",2.87,0.38,0.07,"2018-11-29 10:10:01 AM",3.32
"10:20:01","AM",2.94,0.4,0.06,"2018-11-29 10:20:01 AM",3.4
"10:30:01","AM",2.74,0.38,0.06,"2018-11-29 10:30:01 AM",3.18
"10:40:01","AM",2.94,0.4,0.06,"2018-11-29 10:40:01 AM",3.4
"10:50:01","AM",2.87,0.39,0.06,"2018-11-29 10:50:01 AM",3.32
"11:00:01","AM",2.75,0.39,0.06,"2018-11-29 11:00:01 AM",3.2
"11:10:01","AM",2.97,0.41,0.07,"2018-11-29 11:10:01 AM",3.45
"11:20:01","AM",2.94,0.38,0.07,"2018-11-29 11:20:01 AM",3.39
"11:30:01","AM",2.98,0.39,0.08,"2018-11-29 11:30:01 AM",3.45
"11:40:01","AM",2.83,0.39,0.07,"2018-11-29 11:40:01 AM",3.29
"11:50:01","AM",2.58,0.37,0.06,"2018-11-29 11:50:01 AM",3.01
"12:00:01","PM",2.43,0.36,0.06,"2018-11-29 12:00:01 PM",2.85
"12:10:01","PM",2.34,0.31,0.05,"2018-11-29 12:10:01 PM",2.7
"12:20:01","PM",1.91,0.3,0.04,"2018-11-29 12:20:01 PM",2.25
"12:30:01","PM",1.85,0.3,0.04,"2018-11-29 12:30:01 PM",2.19
"12:40:01","PM",1.92,0.31,0.04,"2018-11-29 12:40:01 PM",2.27
"12:50:01","PM",2.07,0.31,0.05,"2018-11-29 12:50:01 PM",2.43
"01:00:01","PM",2.27,0.34,0.04,"2018-11-29 01:00:01 PM",2.65
"01:10:01","PM",2.45,0.35,0.05,"2018-11-29 01:10:01 PM",2.85
"01:20:01","PM",2.98,0.37,0.07,"2018-11-29 01:20:01 PM",3.42
"01:30:01","PM",2.97,0.39,0.08,"2018-11-29 01:30:01 PM",3.44
"01:40:01","PM",2.99,0.39,0.07,"2018-11-29 01:40:01 PM",3.45
"01:50:01","PM",2.98,0.4,0.07,"2018-11-29 01:50:01 PM",3.45
"02:00:01","PM",3.21,0.42,0.09,"2018-11-29 02:00:01 PM",3.72
"02:10:01","PM",2.99,0.41,0.09,"2018-11-29 02:10:01 PM",3.49
"02:20:01","PM",3.08,0.42,0.09,"2018-11-29 02:20:01 PM",3.59
"02:30:01","PM",3.31,0.41,0.08,"2018-11-29 02:30:01 PM",3.8
"02:40:01","PM",3,0.41,0.08,"2018-11-29 02:40:01 PM",3.49
"02:50:01","PM",3.59,0.43,0.09,"2018-11-29 02:50:01 PM",4.11
"03:00:01","PM",2.99,0.4,0.08,"2018-11-29 03:00:01 PM",3.47
"03:10:01","PM",2.83,0.39,0.08,"2018-11-29 03:10:01 PM",3.3
"03:20:01","PM",2.76,0.37,0.08,"2018-11-29 03:20:01 PM",3.21
"03:30:01","PM",2.99,0.4,0.08,"2018-11-29 03:30:01 PM",3.47
"03:40:01","PM",3.14,0.39,0.07,"2018-11-29 03:40:01 PM",3.6
"03:50:01","PM",3.15,0.41,0.08,"2018-11-29 03:50:01 PM",3.64
"04:00:01","PM",2.8,0.4,0.07,"2018-11-29 04:00:01 PM",3.27
"04:10:01","PM",3.09,0.38,0.07,"2018-11-29 04:10:01 PM",3.54
"04:20:01","PM",2.95,0.41,0.08,"2018-11-29 04:20:01 PM",3.44
"04:30:01","PM",3,0.39,0.06,"2018-11-29 04:30:01 PM",3.45
"04:40:01","PM",2.79,0.37,0.06,"2018-11-29 04:40:01 PM",3.22
"04:50:01","PM",2.53,0.36,0.07,"2018-11-29 04:50:01 PM",2.96
"05:00:01","PM",2.39,0.34,0.05,"2018-11-29 05:00:01 PM",2.78
"05:10:01","PM",2.34,0.32,0.04,"2018-11-29 05:10:01 PM",2.7
"05:20:01","PM",2.15,0.32,0.05,"2018-11-29 05:20:01 PM",2.52
"05:30:01","PM",1.85,0.29,0.03,"2018-11-29 05:30:01 PM",2.17
"05:40:01","PM",1.8,0.29,0.04,"2018-11-29 05:40:01 PM",2.13
"05:50:01","PM",1.73,0.28,0.04,"2018-11-29 05:50:01 PM",2.05
"06:00:01","PM",1.82,0.29,0.03,"2018-11-29 06:00:01 PM",2.14
"06:10:01","PM",1.55,0.26,0.02,"2018-11-29 06:10:01 PM",1.83
"06:20:01","PM",1.57,0.26,0.02,"2018-11-29 06:20:01 PM",1.85
"06:30:01","PM",1.49,0.25,0.02,"2018-11-29 06:30:01 PM",1.76
"06:40:01","PM",1.74,0.26,0.02,"2018-11-29 06:40:01 PM",2.02
"06:50:01","PM",1.35,0.25,0.02,"2018-11-29 06:50:01 PM",1.62
"07:00:01","PM",1.35,0.25,0.01,"2018-11-29 07:00:01 PM",1.61
"07:10:01","PM",1.23,0.24,0.01,"2018-11-29 07:10:01 PM",1.48
"07:20:01","PM",1.18,0.23,0.02,"2018-11-29 07:20:01 PM",1.43
"07:30:01","PM",1.11,0.22,0.02,"2018-11-29 07:30:01 PM",1.35
"07:40:01","PM",1.15,0.23,0.01,"2018-11-29 07:40:01 PM",1.39
"07:50:01","PM",1.12,0.22,0.01,"2018-11-29 07:50:01 PM",1.35
"08:00:01","PM",1.1,0.22,0.01,"2018-11-29 08:00:01 PM",1.33
"08:10:01","PM",1.23,0.24,0.02,"2018-11-29 08:10:01 PM",1.49
"08:20:01","PM",1.29,0.24,0.02,"2018-11-29 08:20:01 PM",1.55
"08:30:01","PM",1.33,0.23,0.01,"2018-11-29 08:30:01 PM",1.57
"08:40:01","PM",1.26,0.22,0.01,"2018-11-29 08:40:01 PM",1.49
"08:50:01","PM",1.11,0.22,0.02,"2018-11-29 08:50:01 PM",1.35
"09:00:01","PM",1.08,0.22,0.01,"2018-11-29 09:00:01 PM",1.31
"09:10:01","PM",1.29,0.23,0.01,"2018-11-29 09:10:01 PM",1.53
"09:20:01","PM",1.1,0.22,0.01,"2018-11-29 09:20:01 PM",1.33
"09:30:01","PM",1.07,0.21,0.01,"2018-11-29 09:30:01 PM",1.29
"09:40:01","PM",0.99,0.2,0.01,"2018-11-29 09:40:01 PM",1.2
"09:50:01","PM",0.95,0.2,0.01,"2018-11-29 09:50:01 PM",1.16
"10:00:01","PM",0.98,0.2,0.01,"2018-11-29 10:00:01 PM",1.19
"10:10:01","PM",1.04,0.21,0.01,"2018-11-29 10:10:01 PM",1.26
"10:20:01","PM",1.08,0.22,0.01,"2018-11-29 10:20:01 PM",1.31
"10:30:01","PM",1.21,0.21,0.01,"2018-11-29 10:30:01 PM",1.43
"10:40:01","PM",1.14,0.21,0.01,"2018-11-29 10:40:01 PM",1.36
"10:50:01","PM",1.15,0.22,0.01,"2018-11-29 10:50:01 PM",1.38
"11:00:01","PM",0.96,0.19,0.01,"2018-11-29 11:00:01 PM",1.16
"11:10:01","PM",1.03,0.19,0.01,"2018-11-29 11:10:01 PM",1.23
"11:20:01","PM",0.82,0.19,0.01,"2018-11-29 11:20:01 PM",1.02
"11:30:01","PM",0.9,0.2,0.01,"2018-11-29 11:30:01 PM",1.11
"11:40:01","PM",0.96,0.2,0.01,"2018-11-29 11:40:01 PM",1.17
"11:50:01","PM",0.73,0.18,0,"2018-11-29 11:50:01 PM",0.91
